record_id,redcap_repeat_instrument,redcap_repeat_instance,form_name,field_name,nlp_derived,field_type,field_label,field_note,text_validation_type_or_sh,identifier,extract_label,for_cbioportal,for_docs_site,for_test_portal,fill_value,reasons_for_missing_data,souce_from_idb_or_cdm,adapted_from_col,adapted_from_table,extract_name_id,palantir_dataset,palantir_unified_column,epic_table_name,epic_column_name
1,,,,,,,,,,,,,,,,,,,,,,,,
1,metadata,1,Demographics,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,,,Medical record number (MSK4161822),,,,
1,metadata,2,Demographics,PT_BIRTH_DTE,,STRING,Birth Date,"Birth date, Date of birth of recipient of care, DOB - Date of birth, Date of birth (observable entit",date_mdy,y,MSK4083587,,,,,,,,,Date of birth (MSK4083587),,,,
1,metadata,3,Demographics,PT_DEATH_DTE,,STRING,Death Date,Date of death of patient,date_mdy,y,MSK4265167,,,,,,,,,Date of death (MSK4265167),,,,
1,metadata,4,Demographics,MRN_CREATE_DTE,,STRING,MRN Create Date,Date MRN was created at MSK,date_mdy,y,,,,,,,,,,,,,,
1,metadata,5,Demographics,GENDER,,STRING,Sex,Gender assigned at birth,,,MSK4179218,x,x,x,Unknown,Patient did not provide,IDB (Revenue Management System (RMS)),,,Birth sex (MSK4179218),Demographics,finding_related_to_biological_sex_MSK4179218,PatientDim,SexAssignedAtBirth
1,metadata,6,Demographics,MARITAL_STATUS,,STRING,Marital Status,Patient marital status.,,,,,,,Unknown,Patient did not provide,IDB (Revenue Management System (RMS)),,,Marital status (MSK4053609),,,,
1,metadata,7,Demographics,RELIGION,,STRING,Religon,Religon,,,,,,,,,,,,Spiritual or religious belief (MSK4031696),,,,
1,metadata,8,Demographics,RACE,,STRING,Race,"Race, self-reported",,,MSK35917103,x,x,x,Unknown,Patient did not provide,IDB (Revenue Management System (RMS)),,,Race (MSK4013886),Demographics,race_MSK4013886,,
1,metadata,9,Demographics,ETHNICITY,,STRING,Ethnicity,"Ethnicity, self-reported",,,MSK35918387,x,x,x,Unknown,Patient did not provide,IDB (Revenue Management System (RMS)),,,Ethnicity (MSK44803968),Demographics,ethnicity_MSK44803968,,
1,metadata,10,Demographics,PLA_LAST_CONTACT_DTE,,STRING,Last Contact Date,Last contact Date with patient,date_mdy,y,,,,,,,,,,,,,,
1,metadata,11,Demographics,PLA_LAST_ACTV_DTE,,STRING,Last Date of Activity,Last Date of Activity,date_mdy,y,,,,,,,,,,,,,,
1,metadata,12,Demographics,PLA_LAST_ADM_DTE,,STRING,Last Admission Date,Last date of admission to hospital,date_mdy,y,,,,,,,,,,,,,,
1,metadata,13,Demographics,PLA_LAST_DSCH_DTE,,STRING,Last Discharge Date,Last date of discharge to hospital,date_mdy,y,,,,,,,,,,,,,,
1,metadata,14,Demographics,PLA_LAST_APPT_DTE,,STRING,Last Appointment Date,Last appointment date,date_mdy,y,,,,,,,,,,,,,,
1,metadata,15,Demographics,PLA_LAST_DRVST_DTE,,STRING,Last Dr. Visit Date,Last doctor visit date,date_mdy,y,,,,,,,,,,,,,,
1,metadata,16,Demographics,PLA_LAST_TX_DTE,,STRING,Last Treatment Date,Last date of any treatment,date_mdy,y,,,,,,,,,,,,,,
1,metadata,17,Demographics,PLA_LAST_CHEMO_DTE,,STRING,Last Chemo Date,Date of last anti-neoplastic admin,date_mdy,y,,,,,,,,,,,,,,
1,metadata,18,Demographics,PLA_LAST_SURG_DTE,,STRING,Last Surgery Date,Last Surgery Date,date_mdy,y,,,,,,,,,,,,,,
1,metadata,19,Demographics,PLA_LAST_RT_DTE,,STRING,Last Radiation Therapy Date,Last radiation therapy date,date_mdy,y,,,,,,,,,,,,,,
1,metadata,20,Demographics,CURRENT_AGE_DEID,,INT,Current Age,Current age (limit 89). Derived from Birthdate (Revenue Management System (RMS)),,,MSK4265453,x,x,x,,Contact Revenue Management System (RMS) Database Maintainers,Derived from IDB/Revenue Management System (RMS) dates,,,Age (MSK4265453),,,,
1,metadata,21,Patient Follow-up,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,,,,,,,
1,metadata,22,Patient Follow-up,START_DATE,,STRING,"Date of Hospital Entry, Follow-up, or Death ","MRN create date, date of last follow-up, or date of death",date_mdy,y,,,,,,,,,,,,,,
1,metadata,23,Patient Follow-up,STOP_DATE,,STRING,Stop Date (Not used),All should be blank (Used for cbioportal etl purposes),,,,,,,,,,,,,,,,
1,metadata,24,Patient Follow-up,EVENT_TYPE,,STRING,Event Type,All should be under Diagnosis (portal track),,,,,,,,,,,,,,,,
1,metadata,25,Patient Follow-up,SUBTYPE,,STRING,Subtype,All should be Follow-up (portal sub track),,,,,,,,,,,,,,,,
1,metadata,26,Patient Follow-up,SOURCE,,STRING,Event Name,"MRN create date, date of last follow-up, or date of death",,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,
2,metadata,1,Cancer Diagnosis,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,,,,,,,
2,metadata,2,Cancer Diagnosis,MIN_ICD_BILLING_DATE,,STRING,ICD Billing Date ,Earliest ICD Billing date for given billing code,date_mdy,y,,,,,,,,,,,,,,
