record_id,redcap_repeat_instrument,redcap_repeat_instance,form_name,field_name,nlp_derived,field_type,field_label,field_note,text_validation_type_or_sh,identifier,extract_label,for_cbioportal,for_docs_site,for_test_portal,fill_value,reasons_for_missing_data,souce_from_idb_or_cdm,adapted_from_col,adapted_from_table,extract_name_id,palantir_dataset,palantir_unified_column,epic_table_name (note: entries in red were added by CDM team and need to be reviewed by an ontologist. orange values added by Epic consultant),epic_column_name (note: entries in red were added by CDM team and need to be reviewed by an ontologist),idb_table_name,idb_column_name,idb_col_description,notes,idb_data_element,epic_mapping_complete
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,metadata,1,Demographics,MRN,,STRING,MRN,Medical Record Number,,y,MSK4161822,,,,,,IDB (Revenue Management System (RMS)),,,Medical record number (MSK4161822),Demographics,medical_record_number_MSK4161822,PatientDim,PrimaryMrn,DV.PATIENT_DEMOGRAPHICS_V,PT_MRN,Medical record number. A unique number assigned to each patient. Aka chart number.,,1,1
1,metadata,2,Demographics,PT_BIRTH_DTE,,STRING,Birth Date,"Birth date, Date of birth of recipient of care, DOB - Date of birth, Date of birth (observable entit",date_mdy,y,MSK4083587,,,,,,IDB (Revenue Management System (RMS)),,,Date of birth (MSK4083587),Demographics,date_of_birth_MSK4083587,PatientDim,BirthDate,DV.PATIENT_DEMOGRAPHICS_V,PT_DATE_OF_BIRTH,,,1,1
1,metadata,3,Demographics,PT_DEATH_DTE,,STRING,Death Date,Date of death of patient,date_mdy,y,MSK4265167,,,,,,IDB (Revenue Management System (RMS)),,,Date of death (MSK4265167),Demographics,date_of_death_MSK4265167,PatientDim,DeathDate,DV.PATIENT_DEMOGRAPHICS_V,PT_DATE_OF_DEATH,,,1,1
1,metadata,4,Demographics,MRN_CREATE_DTE,,STRING,MRN Create Date,Date MRN was created at MSK,date_mdy,y,MSKL2140007961,,,,,,IDB (Revenue Management System (RMS)),,,Date medical record number created (MSKL2140007961),Demographics,date_medical_record_number_created_MSKL2140007961,PatientDim,_CreationInstant,DV.PATIENT_DEMOGRAPHICS_V,PT_MRN_CREATE_DTE,,,1,1
1,metadata,5,Demographics,GENDER,,STRING,Sex,Gender assigned at birth,,,MSK4179218,x,x,x,Unknown,Patient did not provide,IDB (Revenue Management System (RMS)),,,Birth sex (MSK4179218),Demographics,finding_related_to_biological_sex_MSK4179218,PatientDim,Sex,DV.PATIENT_DEMOGRAPHICS_V,PT_SEX,,SexAssignedAtBirth,1,1
1,metadata,6,Demographics,MARITAL_STATUS,,STRING,Marital Status,Patient marital status.,,,MSK4053609,,,,Unknown,Patient did not provide,IDB (Revenue Management System (RMS)),,,Marital status (MSK4053609),Demographics,marital_status_MSK4053609,PatientDim,MaritalStatus,DV.PATIENT_DEMOGRAPHICS_V,PT_MARITAL_STS,,,1,1
1,metadata,7,Demographics,RELIGION,,STRING,Religon,Religon,,,MSK4031696,,,,,,,,,Spiritual or religious belief (MSK4031696),Demographics,spiritual_or_religious_belief_MSK4031696,PatientDim,Religion,DV.PATIENT_DEMOGRAPHICS_V,PT_RELIGION_DESC,,,1,1
1,metadata,8,Demographics,RACE,,STRING,Race,"Race, self-reported",,,MSK4013886,x,x,x,Unknown,Patient did not provide,IDB (Revenue Management System (RMS)),,,Race (MSK4013886),Demographics,race_MSK4013886,PatientDim,FirstRace,DV.PATIENT_DEMOGRAPHICS_V,PT_RACE_DESC,,Up to 5 races,1,0
1,metadata,9,Demographics,ETHNICITY,,STRING,Ethnicity,"Ethnicity, self-reported",,,MSK44803968,x,x,x,Unknown,Patient did not provide,IDB (Revenue Management System (RMS)),,,Ethnicity (MSK44803968),Demographics,ethnicity_MSK44803968,PatientDim,Ethnicity,DV.PATIENT_DEMOGRAPHICS_V,PT_PT_ETHNICITY_DESC,,,1,1
1,metadata,10,Demographics,PLA_LAST_CONTACT_DTE,,STRING,Last Contact Date,Last contact Date with patient,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LastContactDateKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_CONTACT_DTE,,,1,1
1,metadata,11,Demographics,PLA_LAST_ACTV_DTE,,STRING,Last Date of Activity,Last Date of Activity,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LastContactDateKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_ACTV_DTE,,,1,1
1,metadata,12,Demographics,PLA_LAST_ADM_DTE,,STRING,Last Admission Date,Last date of admission to hospital,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LastInpatientAdmissionDateKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_ADM_DTE,,,1,1
1,metadata,13,Demographics,PLA_LAST_DSCH_DTE,,STRING,Last Discharge Date,Last date of discharge to hospital,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LastInpatientDischargeDateKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_DSCH_DTE,,,1,1
1,metadata,14,Demographics,PLA_LAST_APPT_DTE,,STRING,Last Appointment Date,Last appointment date,date_mdy,y,MSK3016125,,,,,,,,,MSK3016125,,,RecentPatientActivityDataMartX,LastOutpatientAppointmentDateKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_APPT_DTE,,,1,1
1,metadata,15,Demographics,PLA_LAST_DRVST_DTE,,STRING,Last Dr. Visit Date,Last doctor visit date,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LastOutpatientAppointmentDateKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_DRVST_DTE,,,1,1
1,metadata,16,Demographics,PLA_LAST_TX_DTE,,STRING,Last Treatment Date,Last date of any treatment,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LatestDateOfTreatmentKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_TX_DTE,,,1,1
1,metadata,17,Demographics,PLA_LAST_CHEMO_DTE,,STRING,Last Chemo Date,Date of last anti-neoplastic admin,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LatestDateOfChemoKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_CHEMO_DTE,,,1,1
1,metadata,18,Demographics,PLA_LAST_SURG_DTE,,STRING,Last Surgery Date,Last Surgery Date,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LatestDateOfSurgeryKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_SURG_DTE,,,1,1
1,metadata,19,Demographics,PLA_LAST_RT_DTE,,STRING,Last Radiation Therapy Date,Last radiation therapy date,date_mdy,y,,,,,,,,,,,,,RecentPatientActivityDataMartX,LatestDateOfRadiationTherapyKey,DV.PATIENT_LATEST_ACTIVITY,PLA_LAST_RT_DTE,,,1,1
1,metadata,20,Demographics,CURRENT_AGE_DEID,,INT,Current Age,Current age (limit 89). Derived from Birthdate (Revenue Management System (RMS)),,,MSK4265453,x,x,x,,Contact Revenue Management System (RMS) Database Maintainers,Derived from IDB/Revenue Management System (RMS) dates,,,Age (years) (MSK4265453),,"**not in Palantir unified layer, requires dev work to create a calculated column in the enriched layer",PatientDim,AgeInYears,DV.PATIENT_DEMOGRAPHICS_V,"PT_DATE_OF_DEATH, PT_DATE_OF_BIRTH",,,1,1
1,metadata,21,Patient Follow-up,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,,,Medical record number (MSK4161822),Demographics,medical_record_number_MSK4161822,PatientDim,PrimaryMrn,DV.PATIENT_DEMOGRAPHICS_V,PT_MRN,Medical record number. A unique number assigned to each patient. Aka chart number.,,1,1
1,metadata,22,Patient Follow-up,START_DATE,,STRING,"Date of Hospital Entry, Follow-up, or Death ","MRN create date, date of last follow-up, or date of death",date_mdy,y,,,,,,,,,,,,,,,,,,,0,0
1,metadata,23,Patient Follow-up,STOP_DATE,,STRING,Stop Date (Not used),All should be blank (Used for cbioportal etl purposes),date_mdy,,,,,,,,,,,,,,,,,,,,0,0
1,metadata,24,Patient Follow-up,EVENT_TYPE,,STRING,Event Type,All should be under Diagnosis (portal track),,,,,,,,,,,,,,,,,,,,,0,0
1,metadata,25,Patient Follow-up,SUBTYPE,,STRING,Subtype,All should be Follow-up (portal sub track),,,,,,,,,,,,,,,,,,,,,0,0
1,metadata,26,Patient Follow-up,SOURCE,,STRING,Event Name,"MRN create date, date of last follow-up, or date of death",,,,,,,,,,,,,,,,,,,,,0,0
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
2,metadata,1,Cancer Diagnosis,MRN,,STRING,MRN,Medical Record Number,,y,,,,,,,,,,Medical record number (MSK4161822),Demographics,medical_record_number_MSK4161822,PatientDim,PrimaryMrn,DV.PATIENT_DEMOGRAPHICS_V,PT_MRN,Medical record number. A unique number assigned to each patient. Aka chart number.,,1,1
2,metadata,2,Cancer Diagnosis,MIN_ICD_BILLING_DATE,,STRING,ICD Billing Date ,Earliest ICD Billing date for given billing code,date_mdy,y,,,,,,,,,,,,,,,,,,,0,0
2,metadata,3,Cancer Diagnosis,Tumor Diagnosis Date,,STRING,Tumor Diagnosis Date,Date of primary cancer diagnosis via tumor registry,date_mdy,y,MSK4160852,,,,,,,,,MSK4160852,,,CancerStagingFact,StageDateKey,DV.DATE,DT_DTE,The specific date when an activity took place (Date or Null for special date entries)                                                                                                                                                                          ,,1,1
2,metadata,4,Cancer Diagnosis,ICD_BILLING_CODE,,STRING,ICD Billing Code,ICD Billing Code (version 9 or 10),,,,,,,,,,,,,,,DiagnosisTerminologyDim,Value ON Type = 'ICD-10-CM',DV.DIAGNOSIS_CATALOG,DXCC_ICD_CODE,The specific instance of ICD code,,1,1
2,metadata,5,Cancer Diagnosis,ICD_BILLING_DX_DESC,,STRING,ICD Billing Code Description,Description of given ICD billing code,,,,,,,,,,,,,,,DiagnosisTerminologyDim,DisplayString ON Type = 'ICD-10-CM',DV.DIAGNOSIS_CATALOG,DXCC_ICD_MSK_DESC,The short MSK description of the ICD.,,1,1
2,metadata,6,Cancer Diagnosis,ICD-O Site Code,,STRING,ICD-O Site Code,NCI ICD-O Site Code,,,MSKL2140001985,,,,,,,,,"Site of primary tumor, ICDO3 (MSKL2140001985)",Cancer Registry,site_of_primary_tumor_icdo3_MSKL2140001985,CancerStagingFact,BodySiteOrCancerType,DV.ICDO_SITE_CATALOG,ICSC_SITE_CD,The specific instance of ICD code,,1,1
2,metadata,7,Cancer Diagnosis,ICD-O Site Desc,,STRING,ICD-O Site Desc,NCI ICD-O Organ Site Description,,,MSKL2140001985,,,,,,,,,"Site of primary tumor, ICDO3 (MSKL2140001985)",Cancer Registry,site_of_primary_tumor_icdo3_MSKL2140001985,CancerStagingFact,BodySiteOrCancerType,DV.ICDO_SITE_CATALOG,ICSC_ICDO_SITE_MSK_DESC,The short MSK description of the ICDO site.,,1,1
2,metadata,8,Cancer Diagnosis,ICD-O Histology Code,,STRING,ICD-O Histology Code,NCI ICD-O Histology Code,,,MSK4154129,,,,,,,,,"Histologic type of primary, ICDO3 (MSK4154129)",Cancer Registry,histologic_type_icdo3_MSK4154129,CancerStagingFact,HistopathologicTypeCode,DV.DIAGNOSIS_CATALOG,DXCC_ICD_CODE,The specific instance of ICD code,,1,1
2,metadata,9,Cancer Diagnosis,ICD-O Histology Desc,,STRING,ICD-O Histology Desc,NCI ICD-O Histology Description,,,MSK4154129,,,,,,,,,"Histologic type of primary, ICDO3 (MSK4154129)",Cancer Registry,histologic_type_icdo3_MSK4154129,CancerStagingFact,Histology,DV.DIAGNOSIS_CATALOG,DXCC_ICD_MSK_DESC,The short MSK description of the ICD.,,1,1
2,metadata,10,Cancer Diagnosis,Clinical Group,,STRING,Clinical Group,Clinical cancer stage,,,MSK35918597,,,,,,,,,TNM clinical stage (MSK35918597),Cancer Registry,"**not in Palantir unified layer, requires dev work to add IDB source to enriched layer",CancerStagingFact,StageDescription on Classification = 'Clinical',DV.TUMOR_CLINICAL_STAGE_ATTRIBUTES,TCLSA_CLIN_STG_GRP,"Clinical Stage Group. Clinical Stage Group defines the anatomic extent ofdisease based on the previously coded T,N, M elements.                                                                                                                               ",,1,1
2,metadata,11,Cancer Diagnosis,Path Group,,STRING,Path Group,Pathological cancer stage,,,MSK35918286,,,,,,,,,TNM pathological stage (MSK35918286),Cancer Registry,tnm_pathological_stage_MSK35918286,CancerStagingFact,StageDescription on Classification = 'Pathologic',DV.TUMOR_PATH_STAGE_ATTRIBUTES,TPA_PATH_STG_GRP,"Pathologic Stage Group. Pathologic Stage Group defines the anatomic extent ofdisease based on the previously coded T,N, M elements.                                                                                                                           ",,1,1
